group_id,timeslot_id,subject_id,teacher_id,room_id
G1,1,31901-2002,T01,R5306
G1,2,31901-2002,T01,R5306
G1,3,31901-2002,T01,R5306
G1,4,31901-2002,T01,R5306
G1,6,31901-2002,T01,R5306
G1,7,30000-1501,T02,R5306
G1,8,30000-1501,T02,R5306
G1,9,30000-1501,T02,R5306
G1,10,31901-2006,T03,R5306
G1,13,31901-2006,T03,R5306
G1,14,31901-2006,T03,R5306
G1,15,31901-2006,T03,R5306
G1,16,31901-2006,T03,R5306
G1,18,31901-2010,T04,R5306
G1,19,31901-2010,T04,R5306
G1,20,31901-2010,T04,R5306
G1,21,31901-2010,T04,R5306
G1,22,31901-2010,T04,R5306
G1,25,31901-2009,T04,R5306
G1,26,31901-2009,T04,R5306
G1,27,31901-2009,T04,R5306
G1,28,31901-2009,T04,R5306
G1,30,31901-2009,T04,R5306
G1,31,30000-1202,T06,R5306
G1,32,30000-1202,T06,R5306
G1,33,30000-2004,T07,R5306
G1,34,30000-2004,T07,R5306
G1,37,31901-2013,T08,R5306
G1,38,31901-2013,T08,R5306
G1,39,31901-2013,T08,R5306
G1,40,31901-2013,T08,R5306
G1,42,31901-2013,T08,R5306
G1,43,30001-1001,T09,R5306
G1,44,30001-1001,T09,R5306
G1,45,30001-1001,T09,R5306
G1,46,30001-1001,T09,R5306
G1,49,31901-2017,T07,R5306
G1,50,31901-2017,T07,R5306
G1,51,31901-2017,T07,R5306
G1,52,31901-2017,T07,R5306
G1,54,31901-2017,T07,R5306
G1,55,31901-2017,T07,R5306
G2,1,30000-1202,T06,R6405
G2,2,30000-1202,T06,R6405
G2,3,30000-1501,T02,R6405
G2,4,30000-1501,T02,R6405
G2,6,30000-1501,T02,R6405
G2,7,30001-1001,T09,R6405
G2,8,30001-1001,T09,R6405
G2,9,30001-1001,T09,R6405
G2,10,30001-1001,T09,R6405
G2,13,31901-2002,T01,R6405
G2,14,31901-2002,T01,R6405
G2,15,31901-2002,T01,R6405
G2,16,31901-2002,T01,R6405
G2,18,31901-2002,T01,R6405
G2,19,31901-2006,T03,R6405
G2,20,31901-2006,T03,R6405
G2,21,31901-2006,T03,R6405
G2,22,31901-2006,T03,R6405
G2,25,31901-2006,T03,R6405
G2,31,31901-2009,T04,R6405
G2,32,31901-2009,T04,R6405
